loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
38171.0	816	genus	19.3232	Bacteroides
38171.0	216851	genus	8.09883	Faecalibacterium
38171.0	239759	genus	3.12022	Alistipes
38171.0	838	genus	2.41804	Prevotella
38171.0	375288	genus	0.950319	Parabacteroides
38171.0	1730	genus	0.802492	Eubacterium
38171.0	39948	genus	0.654664	Dialister
38171.0	577309	genus	0.649385	Paraprevotella
38171.0	459786	genus	0.628267	Oscillibacter
38171.0	572511	genus	0.570192	Blautia
38171.0	1506553	genus	0.295655	Lachnoclostridium
38171.0	577310	genus	0.269257	Parasutterella
38171.0	35832	genus	0.248139	Bilophila
38171.0	1508657	genus	0.23758	Ruminiclostridium
38171.0	283168	genus	0.211182	Odoribacter
38171.0	189330	genus	0.163666	Dorea
38171.0	841	genus	0.158387	Roseburia
38171.0	33042	genus	0.131989	Coprococcus
38171.0	561	genus	0.100311	Escherichia
38171.0	872	genus	0.0950319	Desulfovibrio
38171.0	1678	genus	0.0791933	Bifidobacterium
38171.0	244127	genus	0.0686342	Anaerotruncus
38171.0	1506577	genus	0.0580751	Tyzzerella
38171.0	286	genus	0.047516	Pseudomonas
38171.0	1301	genus	0.047516	Streptococcus
38171.0	1505663	genus	0.0422364	Erysipelatoclostridium
38171.0	44748	genus	0.0369569	Sporobacter
38171.0	590	genus	0.0316773	Salmonella
38171.0	990721	genus	0.0263978	Christensenella
38171.0	1485	genus	0.0263978	Clostridium
38171.0	52784	genus	0.0263978	Anaerofilum
38171.0	1263	genus	0.0211182	Ruminococcus
38171.0	1386	genus	0.0211182	Bacillus
38171.0	61170	genus	0.0158387	Holdemania
38171.0	29465	genus	0.0158387	Veillonella
38171.0	482	genus	0.0158387	Neisseria
38171.0	53335	genus	0.0105591	Pantoea
38171.0	830	genus	0.0105591	Butyrivibrio
38171.0	84567	genus	0.0105591	Pedobacter
38171.0	100883	genus	0.0105591	Coprobacillus
38171.0	469	genus	0.0105591	Acinetobacter
38171.0	998014	genus	0.0105591	Cocleimonas
38171.0	642	genus	0.0105591	Aeromonas
38171.0	581	genus	0.0105591	Morganella
38171.0	84108	genus	0.0105591	Slackia
38171.0	848	genus	0.0105591	Fusobacterium
38171.0	702	genus	0.0105591	Plesiomonas
38171.0	866673	genus	0.00527955	Marinifilum
38171.0	34037	genus	0.00527955	Rahnella
38171.0	106633	genus	0.00527955	Thioalkalivibrio
38171.0	40222	genus	0.00527955	Methylophaga
38171.0	445	genus	0.00527955	Legionella
38171.0	40323	genus	0.00527955	Stenotrophomonas
38171.0	620	genus	0.00527955	Shigella
38171.0	2093	genus	0.00527955	Mycoplasma
38171.0	28231	genus	0.00527955	Geobacter
38171.0	724	genus	0.00527955	Haemophilus
38171.0	1645	genus	0.00527955	Renibacterium
38171.0	239934	genus	0.00527955	Akkermansia
