loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
35732.0	816	genus	20.9651	Bacteroides
35732.0	239759	genus	1.97313	Alistipes
35732.0	577309	genus	1.1589	Paraprevotella
35732.0	216851	genus	0.549478	Faecalibacterium
35732.0	1508657	genus	0.504521	Ruminiclostridium
35732.0	375288	genus	0.374644	Parabacteroides
35732.0	397864	genus	0.219791	Barnesiella
35732.0	572511	genus	0.164843	Blautia
35732.0	459786	genus	0.134872	Oscillibacter
35732.0	590	genus	0.129877	Salmonella
35732.0	286	genus	0.119886	Pseudomonas
35732.0	1730	genus	0.114891	Eubacterium
35732.0	1485	genus	0.114891	Clostridium
35732.0	283168	genus	0.109896	Odoribacter
35732.0	724	genus	0.1049	Haemophilus
35732.0	1506553	genus	0.1049	Lachnoclostridium
35732.0	44748	genus	0.0999051	Sporobacter
35732.0	1678	genus	0.0949098	Bifidobacterium
35732.0	1386	genus	0.0799241	Bacillus
35732.0	244127	genus	0.0749288	Anaerotruncus
35732.0	1263	genus	0.0749288	Ruminococcus
35732.0	1505657	genus	0.0749288	Intestinibacter
35732.0	872	genus	0.0699336	Desulfovibrio
35732.0	239934	genus	0.0449573	Akkermansia
35732.0	1505663	genus	0.0249763	Erysipelatoclostridium
35732.0	841	genus	0.019981	Roseburia
35732.0	189330	genus	0.019981	Dorea
35732.0	583	genus	0.019981	Proteus
35732.0	838	genus	0.019981	Prevotella
35732.0	990721	genus	0.0149858	Christensenella
35732.0	207244	genus	0.0149858	Anaerostipes
35732.0	52784	genus	0.0149858	Anaerofilum
35732.0	561	genus	0.00999051	Escherichia
35732.0	469	genus	0.00999051	Acinetobacter
35732.0	33042	genus	0.00999051	Coprococcus
35732.0	61170	genus	0.00999051	Holdemania
35732.0	1301	genus	0.00999051	Streptococcus
35732.0	270497	genus	0.00999051	Catabacter
35732.0	35832	genus	0.00999051	Bilophila
35732.0	642	genus	0.00999051	Aeromonas
35732.0	119977	genus	0.00999051	Acidithiobacillus
35732.0	180541	genus	0.00499525	Salinisphaera
35732.0	209	genus	0.00499525	Helicobacter
35732.0	83660	genus	0.00499525	Desulfonispora
35732.0	776	genus	0.00499525	Coxiella
35732.0	2299	genus	0.00499525	Desulfosarcina
35732.0	34037	genus	0.00499525	Rahnella
35732.0	1017280	genus	0.00499525	Pseudoflavonifractor
35732.0	1565532	genus	0.00499525	Rouxiella
35732.0	1578	genus	0.00499525	Lactobacillus
35732.0	2745	genus	0.00499525	Halomonas
35732.0	156973	genus	0.00499525	Dysgonomonas
