#cooccurred genus in D006262: Health; The state of the organism when it functions optimally without evidence of disease.																	
#in total 12485 valid runs were included in GMrepo.																	
#please consult our web site for more details.																	
phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
D006262	genus	22	1243	0.013680366	-0.243441407	1.83E-14	-0.667518429	3	27	72	12383	19.08575992	0.000752303	3.624581436	64.10402887	Shewanella	Leuconostoc
D006262	genus	22	1378	0.041128062	-0.14242981	6.53E-19	-0.566902907	3	27	176	12279	7.748568168	0.008853782	1.490649983	25.53320207	Shewanella	Gemella
D006262	genus	22	2132	0.035634133	-0.072898322	4.72E-17	-0.285515524	6	24	801	11654	3.636661885	0.011164077	1.212318124	9.1687109	Shewanella	Spiroplasma
D006262	genus	22	2745	3.34E-44	0.818374745	1.15E-05	0.322303221	23	7	148	12307	270.4405423	5.65E-38	110.7276406	755.2942337	Shewanella	Halomonas
D006262	genus	22	32008	0.042266849	-0.222139218	4.35E-13	-0.68894751	4	26	54	12401	35.21448118	1.05E-05	8.648211242	106.4861766	Shewanella	Burkholderia
D006262	genus	22	52784	0.018148659	-0.117498946	3.36E-20	-0.436253891	4	26	374	12081	4.968540039	0.012162652	1.253740366	14.42036678	Shewanella	Anaerofilum
D006262	genus	22	53246	0.008698969	-0.341513021	2.34E-15	-0.822733809	4	26	28	12427	68.06862885	9.29E-07	16.20174948	213.5352254	Shewanella	Pseudoalteromonas
D006262	genus	22	172900	0.03591997	-0.144520187	2.27E-18	-0.553997389	4	26	181	12274	10.42852814	0.000946122	2.617706888	30.4903716	Shewanella	Victivallis
D006262	genus	22	504481	0.011105184	-0.291713369	3.71E-15	-0.757437273	3	27	45	12410	30.58242161	0.000201308	5.734105635	104.9349928	Shewanella	Sediminibacterium
D006262	genus	22	1508657	0.024460071	-0.029878306	2.91E-07	-0.068056949	23	7	5640	6815	3.969859487	0.000687163	1.647692047	10.96175557	Shewanella	Ruminiclostridium
D006262	genus	75	872	0.028281125	-0.050641342	3.29E-12	-0.159868733	10	18	1848	10609	3.188915296	0.005239096	1.312931959	7.299717719	Caulobacter	Desulfovibrio
D006262	genus	157	482	0.040731632	-0.136842701	7.36E-41	-0.744710341	9	80	135	12261	10.20891468	8.16E-07	4.413668406	20.93455858	Treponema	Neisseria
D006262	genus	157	830	0.001674716	-0.104149581	7.77E-49	-0.4604099	16	73	819	11577	3.097736408	0.000242457	1.674832978	5.403814036	Treponema	Butyrivibrio
D006262	genus	157	836	0.048210523	-0.093495357	1.20E-44	-0.597752784	8	81	358	12038	3.320458264	0.004522271	1.376118469	6.930805348	Treponema	Porphyromonas
D006262	genus	157	1378	0.017558567	-0.146903036	1.32E-44	-0.729427891	7	82	172	12224	6.064642821	0.000283722	2.329938806	13.32740433	Treponema	Gemella
D006262	genus	157	1380	0.010388218	-0.165142037	2.47E-50	-0.779881875	7	82	151	12245	6.918642054	0.000131493	2.653168061	15.25347347	Treponema	Atopobium
D006262	genus	157	2172	0.002122493	0.071469279	0.00014116	-0.088472642	48	41	1757	10639	7.087377115	2.49E-18	4.558923122	11.06297845	Treponema	Methanobrevibacter
D006262	genus	157	2349	0.00354659	-0.29633797	4.22E-06	-0.452191457	19	70	6	12390	549.6997403	3.53E-37	206.2929905	1803.877041	Treponema	Haliscomenobacter
D006262	genus	157	32067	0.009493075	-0.209767865	2.68E-35	-0.801389073	8	81	63	12333	19.30654845	3.57E-08	7.739364011	42.18565355	Treponema	Leptotrichia
D006262	genus	157	33024	0.005119952	0.108439363	0.029413409	-0.08446332	55	34	576	11820	33.16463876	4.51E-49	21.04210209	52.9328537	Treponema	Phascolarctobacterium
D006262	genus	157	33969	0.031250779	-0.195937594	7.00E-18	-0.682168161	19	70	32	12364	104.380152	8.41E-29	53.29046826	201.5264375	Treponema	Melissococcus
D006262	genus	157	33986	0.007542172	-0.232466375	1.67E-28	-0.784130333	16	73	42	12354	64.27153183	6.78E-22	32.20681606	123.0524418	Treponema	Exiguobacterium
D006262	genus	157	52225	0.013346211	-0.102254064	1.49E-43	-0.529320321	11	78	496	11900	3.382872974	0.000923452	1.611860472	6.443330096	Treponema	Mitsuokella
D006262	genus	157	59735	0.012098361	-0.231309748	2.36E-22	-0.749731211	2	87	28	12368	10.14693943	0.019204076	1.153843943	41.32768283	Treponema	Bergeyella
D006262	genus	157	86331	0.000402643	-0.198481748	7.00E-52	-0.722202345	6	83	225	12171	3.909557628	0.006094398	1.380236972	9.008790849	Treponema	Mogibacterium
D006262	genus	157	117563	0.001670334	-0.162872914	5.01E-52	-0.682400922	6	83	281	12115	3.116117806	0.016581837	1.10235952	7.159181981	Treponema	Granulicatella
D006262	genus	157	135858	0.032028655	-0.102822716	2.46E-14	-0.354623637	39	50	346	12050	27.1313748	1.15E-35	17.13493431	42.76380718	Treponema	Catenibacterium
D006262	genus	157	253238	0.020456933	-0.151459137	1.09E-37	-0.713393721	12	77	145	12251	13.15843341	1.06E-09	6.374174323	24.98928146	Treponema	Ethanoligenens
D006262	genus	157	292632	0.013780461	-0.037974397	4.70E-17	-0.128927363	55	34	4117	8279	3.252640273	4.78E-08	2.079660251	5.153720962	Treponema	Subdoligranulum
D006262	genus	157	332248	0.014485392	-0.246324065	1.15E-07	-0.504832954	19	70	9	12387	368.9250654	1.36E-35	153.8030151	955.7121337	Treponema	Truepera
D006262	genus	157	416916	0.006016388	-0.214296657	1.17E-46	-0.849910642	3	86	74	12322	5.806426141	0.017532273	1.148608343	18.2059651	Treponema	Aggregatibacter
D006262	genus	157	648800	0.00784442	-0.250024617	6.97E-10	-0.541635537	19	70	23	12373	145.0941418	8.14E-31	71.38435915	291.1002419	Treponema	Solibacillus
D006262	genus	157	886360	0.018131746	-0.220999216	1.76E-17	-0.691023677	2	87	25	12371	11.36690797	0.015710674	1.285414567	46.79113541	Treponema	Rudaea
D006262	genus	157	1164882	0.005798861	-0.236277357	3.17E-32	-0.807054432	4	85	46	12350	12.62365531	0.000432622	3.228494795	35.75528095	Treponema	Lachnoanaerobaculum
D006262	genus	194	970	0.04586692	-0.140307418	1.90E-27	-0.666571175	8	139	56	12282	12.61367235	7.74E-07	5.09533178	27.26951863	Campylobacter	Selenomonas
D006262	genus	194	1301	0.003067054	0.035257026	0.00803102	-0.031565618	98	49	6904	5434	1.574101814	0.009464417	1.103901254	2.270114074	Campylobacter	Streptococcus
D006262	genus	194	2740	0.039154221	-0.120985792	4.81E-62	-0.784969791	8	139	144	12194	4.872223489	0.000429185	2.024210968	10.12503517	Campylobacter	Peptococcus
D006262	genus	194	172900	0.027427578	-0.123103883	1.94E-71	-0.795698003	11	136	174	12164	5.652409776	1.16E-05	2.706900853	10.683728	Campylobacter	Victivallis
D006262	genus	194	1279388	0.018751728	-0.09362355	6.36E-78	-0.653272703	16	131	483	11855	2.997346465	0.000259151	1.650977103	5.102351444	Campylobacter	Kandleria
D006262	genus	209	1243	0.025252711	-0.230745575	2.35E-11	-0.621362768	2	19	73	12391	17.84284329	0.006944848	1.980402429	76.26575148	Helicobacter	Leuconostoc
D006262	genus	209	32008	0.033071622	0.244791272	1.92E-08	-0.590858333	3	18	55	12409	37.51025456	0.000119245	6.883409673	133.6964616	Helicobacter	Burkholderia
D006262	genus	209	53246	0.02468188	-0.314324328	2.48E-14	-0.835372547	2	19	30	12434	43.49010617	0.001296505	4.711669562	193.9824485	Helicobacter	Pseudoalteromonas
D006262	genus	209	508459	0.037176406	-0.284343072	2.96E-09	-0.703580393	2	19	33	12431	39.55176292	0.001550564	4.299010082	175.7034312	Helicobacter	Cloacibacillus
D006262	genus	226	970	0.00270171	-0.31260955	1.06E-15	-0.721400981	5	26	59	12395	40.30897415	4.63E-07	11.68569852	111.461729	Alteromonas	Selenomonas
D006262	genus	226	33057	0.02738128	-0.303083183	8.84E-12	-0.775918977	4	27	22	12432	83.26525841	4.47E-07	19.56707799	268.3372808	Alteromonas	Thauera
D006262	genus	226	84108	0.032389217	-0.104301996	1.26E-16	-0.388607645	5	26	390	12064	5.947088706	0.002663079	1.773709262	15.84567125	Alteromonas	Slackia
D006262	genus	226	118747	0.042704644	-0.184565054	3.71E-18	-0.686276948	2	29	90	12364	9.469828404	0.021743354	1.078879916	38.3926462	Alteromonas	Bulleidia
D006262	genus	226	1279388	0.031537719	-0.09385982	3.93E-17	-0.356004523	5	26	494	11960	4.65523782	0.00718272	1.38993952	12.3883516	Alteromonas	Kandleria
D006262	genus	237	642	0.004883019	0.235783736	4.16E-18	-0.647387781	3	102	36	12344	10.07807741	0.004240133	1.954474684	32.70899249	Flavobacterium	Aeromonas
D006262	genus	237	838	0.00857972	-0.036898766	1.93E-07	-0.073011406	82	23	4968	7412	5.318440351	3.55E-15	3.309994498	8.863693452	Flavobacterium	Prevotella
D006262	genus	237	970	0.007072986	-0.208322983	5.30E-39	-0.804857449	3	102	61	12319	5.937439127	0.016621228	1.172523798	18.67283708	Flavobacterium	Selenomonas
D006262	genus	237	1573	0.017161161	-0.112553795	1.02E-62	-0.682535893	8	97	343	12037	2.893854503	0.009445105	1.205286757	5.996272049	Flavobacterium	Clavibacter
D006262	genus	237	2132	0.008667155	-0.087792622	2.88E-51	-0.474233691	19	86	788	11592	3.24951102	3.76E-05	1.856401258	5.420934236	Flavobacterium	Spiroplasma
