	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
86	D006262	genus	270	2701	0.010244131	-0.173965492	4.59e-09	-0.3847065	5	15	197	12268	20.73181515	1.34e-05	5.837195383	60.7963092	Thermus	Gardnerella
87	D006262	genus	270	65551	1.31e-14	0.967392231	0.000226561	0.684246249	18	2	4	12461	11853.29871	1.66e-52	4201.025641	4500000000000000.0	Thermus	Meiothermus
171	D006262	genus	544	561	1.08e-12	0.111196451	0.044816841	-0.031424364	98	63	3916	8408	3.339583459	8.42e-14	2.403087617	4.669748569	Citrobacter	Escherichia
172	D006262	genus	544	1243	0.04719479	-0.130439315	9.69e-48	-0.775013834	4	157	71	12253	4.395779378	0.015948091	1.151637339	11.97968733	Citrobacter	Leuconostoc
173	D006262	genus	544	292632	0.037828218	-0.031807968	2.13e-44	-0.211711556	70	91	4102	8222	1.541820055	0.008901654	1.109932801	2.134075804	Citrobacter	Subdoligranulum
174	D006262	genus	544	447020	0.00100698	-0.127055832	1.5199999999999998e-67	-0.60396747	16	145	506	11818	2.576716627	0.001156087	1.423642063	4.368883076	Citrobacter	Adlercreutzia
500	D006262	genus	904	906	0.002142041	-0.051954295	3.4400000000000005e-235	-0.514549789	427	2205	857	8996	2.032668069	5.800000000000001e-27	1.789108712	2.307032572	Acidaminococcus	Megasphaera
501	D006262	genus	904	1301	3.55e-11	-0.073904123	8.07e-262	-0.37233336	1625	1007	5377	4476	1.34326559	4.3e-11	1.229034987	1.468614988	Acidaminococcus	Streptococcus
502	D006262	genus	904	1569	0.016467833	-0.046551794	3.57e-15	-0.15193163	14	2618	22	9831	2.389444121	0.013277248	1.128928005	4.891948387	Acidaminococcus	Sporosarcina
503	D006262	genus	904	1716	5.57e-05	-0.074781033	2.75e-134	-0.435199985	121	2511	267	9586	1.729985457	2.49e-06	1.377538452	2.162776894	Acidaminococcus	Corynebacterium
504	D006262	genus	904	2147	1.24e-08	-0.102583956	5.73e-236	-0.544126168	157	2475	435	9418	1.373351588	0.001134264	1.130755865	1.661340365	Acidaminococcus	Acholeplasma
505	D006262	genus	904	2172	9.78e-13	-0.113575821	0.0	-0.605197169	515	2117	1290	8563	1.614744742	3.97e-16	1.439653306	1.809521462	Acidaminococcus	Methanobrevibacter
506	D006262	genus	904	2740	0.005465545	-0.053612649	3.13e-20	-0.176540925	100	2532	52	9801	7.442305562	7.26e-33	5.254820552	10.64726055	Acidaminococcus	Peptococcus
507	D006262	genus	904	13334	0.029845284	-0.042038102	7.59e-21	-0.17984836	39	2593	38	9815	3.884243131	8.51e-09	2.414715798	6.252971461	Acidaminococcus	Anaerobiospirillum
508	D006262	genus	904	33042	2e-13	-0.085534074	4.23e-81	-0.219681758	1928	704	4725	5128	2.971966989	1.93e-122	2.700796371	3.272903921	Acidaminococcus	Coprococcus
509	D006262	genus	904	35832	0.00010739	-0.05439129	2e-296	-0.484309381	1034	1598	2434	7419	1.9721917	1.98e-47	1.799144722	2.16134865	Acidaminococcus	Bilophila
510	D006262	genus	904	40323	0.032568172	-0.041365751	6.520000000000001e-27	-0.205740915	24	2608	38	9815	2.376699179	0.001497315	1.361160566	4.074591491	Acidaminococcus	Stenotrophomonas
511	D006262	genus	904	41273	0.009675345	-0.049884964	6.640000000000001e-27	-0.20499573	64	2568	57	9796	4.282440864	1.06e-14	2.941334476	6.247889323	Acidaminococcus	Tissierella
512	D006262	genus	904	46255	0.013827695	-0.047041135	3.71e-59	-0.302791172	45	2587	106	9747	1.599419095	0.011695038	1.099475402	2.294025494	Acidaminococcus	Weissella
513	D006262	genus	904	66831	0.014583912	-0.047177706	1.6e-32	-0.226503157	26	2606	48	9805	2.037939058	0.005940569	1.21114051	3.358219642	Acidaminococcus	Facklamia
514	D006262	genus	904	80865	0.033643369	-0.04120618	8.95e-14	-0.143925012	26	2606	26	9827	3.770423303	3.52e-06	2.09958113	6.76985553	Acidaminococcus	Delftia
515	D006262	genus	904	84108	3.7e-07	-0.094671733	4.35e-82	-0.347016566	154	2478	241	9612	2.478433753	1.68e-16	2.001493303	3.061867687	Acidaminococcus	Slackia
516	D006262	genus	904	84111	3.64e-13	-0.115780082	0.0	-0.628987155	411	2221	1285	8568	1.233866572	0.000767271	1.091001892	1.393540776	Acidaminococcus	Eggerthella
517	D006262	genus	904	86331	1.1e-06	-0.092162116	2.21e-71	-0.329081986	76	2556	155	9698	1.860219376	2.8e-05	1.38976108	2.472471394	Acidaminococcus	Mogibacterium
518	D006262	genus	904	100175	3.96e-06	-0.088598838	3.96e-40	-0.251063436	33	2599	71	9782	1.749258352	0.01077833	1.118289354	2.686172304	Acidaminococcus	Papillibacter
519	D006262	genus	904	118747	0.002893418	-0.057574201	6.95e-19	-0.170432447	49	2583	43	9810	4.327172351	1e-11	2.807061715	6.693298077	Acidaminococcus	Bulleidia
520	D006262	genus	904	133925	0.005227684	-0.052971491	2.01e-49	-0.275089204	118	2514	146	9707	3.12021528	3.75e-18	2.417089401	4.021353042	Acidaminococcus	Olsenella
521	D006262	genus	904	150022	0.000987307	-0.0631859	1e-49	-0.278991296	61	2571	83	9770	2.792323514	6.71e-09	1.966917975	3.945572282	Acidaminococcus	Finegoldia
522	D006262	genus	904	160795	0.01428145	-0.047518877	1.12e-09	-0.117796037	26	2606	26	9827	3.770423303	3.52e-06	2.09958113	6.76985553	Acidaminococcus	Ureibacillus
523	D006262	genus	904	165779	0.001320821	-0.061109904	4.4999999999999995e-67	-0.3208073	68	2564	127	9726	2.030986844	7.67e-06	1.484972765	2.757367157	Acidaminococcus	Anaerococcus
524	D006262	genus	904	172900	0.000353769	-0.068498441	1.47e-39	-0.24867669	101	2531	84	9769	4.640110857	7.899999999999999e-24	3.427417776	6.296453746	Acidaminococcus	Victivallis
525	D006262	genus	904	184869	0.001525849	-0.060984085	3.79e-37	-0.241597693	34	2598	67	9786	1.911272938	0.003076305	1.223449713	2.936973481	Acidaminococcus	Varibaculum
526	D006262	genus	904	195950	0.020984519	-0.044644954	1.93e-16	-0.158179865	21	2611	41	9812	1.924582854	0.018443193	1.078487002	3.339854735	Acidaminococcus	Tannerella
527	D006262	genus	904	207244	8.26e-13	-0.114936689	0.0	-0.628791927	418	2214	1222	8631	1.333453453	4.53e-06	1.179137198	1.505989032	Acidaminococcus	Anaerostipes
528	D006262	genus	904	239759	2.38e-12	-0.071892246	2.3599999999999997e-68	-0.177975381	2316	316	6854	2999	3.206546786	8.78e-91	2.827173064	3.646138705	Acidaminococcus	Alistipes
529	D006262	genus	904	283168	4.02e-22	-0.118379387	0.0	-0.470391346	1429	1203	3997	5856	1.740203181	3.2400000000000004e-36	1.594457879	1.899618952	Acidaminococcus	Odoribacter
530	D006262	genus	904	577310	4.97e-06	-0.064119226	0.0	-0.50721669	924	1708	2431	7422	1.651518569	8.36e-26	1.504148172	1.812832155	Acidaminococcus	Parasutterella
531	D006262	genus	904	990721	1.11e-17	-0.143214968	0.0	-0.58804741	464	2168	908	8945	2.108271037	2.0800000000000002e-31	1.862995001	2.383685996	Acidaminococcus	Christensenella
532	D006262	genus	904	1279388	4.86e-09	-0.108412397	1.23e-100	-0.38070335	232	2400	267	9586	3.470137343	2.25e-38	2.880761523	4.177631624	Acidaminococcus	Kandleria
533	D006262	genus	904	1505657	1.35e-12	-0.113685879	9.05e-178	-0.434454152	1056	1576	1234	8619	4.679343667	4.7e-202	4.236699171	5.168394322	Acidaminococcus	Intestinibacter
534	D006262	genus	904	1506577	4.51e-05	-0.073406074	1.7400000000000002e-148	-0.443149684	342	2290	451	9402	3.112788507	1.58e-47	2.677044976	3.617771973	Acidaminococcus	Tyzzerella
535	D006262	genus	904	1573534	0.018775631	-0.045097643	8.289999999999999e-23	-0.187090699	66	2566	83	9770	3.027256449	1.82e-10	2.150615627	4.247382826	Acidaminococcus	Faecalitalea
536	D006262	genus	904	1822464	0.023800614	-0.043891564	1.72e-08	-0.109204167	18	2614	20	9833	3.384829295	0.000389582	1.685617703	6.750875863	Acidaminococcus	Paraburkholderia
634	D006262	genus	1263	1375	0.036196949	-0.022387367	0.000125921	-0.040967358	35	8716	4	3730	3.74460104	0.004903538	1.337411534	14.50728723	Ruminococcus	Aerococcus
635	D006262	genus	1263	1678	1.38e-33	-0.113102635	1.49e-75	-0.17151254	6666	2085	2582	1152	1.42644688	5.21e-16	1.308683956	1.554459753	Ruminococcus	Bifidobacterium
636	D006262	genus	1263	2132	6.07e-05	-0.042599755	3.62e-24	-0.107473462	703	8048	104	3630	3.048660757	1.25e-31	2.468294145	3.79677303	Ruminococcus	Spiroplasma
637	D006262	genus	1263	2316	0.000286139	0.038755459	5.68e-06	0.048472416	158	8593	6	3728	11.4234255	7.52e-18	5.125678991	31.65047485	Ruminococcus	Methanosphaera
638	D006262	genus	1263	13334	0.033969187	-0.022649348	6.39e-12	-0.073298587	63	8688	14	3720	1.926708369	0.024281769	1.066191669	3.728539489	Ruminococcus	Anaerobiospirillum
639	D006262	genus	1263	39948	0.006695424	-0.027646371	3.19e-62	-0.168539062	4222	4529	868	2866	3.077757945	3.86e-156	2.820309093	3.360772695	Ruminococcus	Dialister
640	D006262	genus	1263	40544	4.35e-18	-0.090085405	1.4999999999999998e-67	-0.179349947	2082	6669	475	3259	2.141814163	9.32e-48	1.920747051	2.3916259	Ruminococcus	Sutterella
641	D006262	genus	1263	41273	0.026079621	-0.023760758	3.07e-15	-0.084096911	103	8648	18	3716	2.458663741	0.00019086	1.478350788	4.318122997	Ruminococcus	Tissierella
642	D006262	genus	1263	52225	0.045106793	-0.021324545	8.58e-11	-0.068997153	429	8322	78	3656	2.416104384	1.34e-14	1.887782101	3.126345375	Ruminococcus	Mitsuokella
643	D006262	genus	1263	52784	1.3e-05	-0.046423419	1.92e-24	-0.108390319	318	8433	60	3674	2.308918763	2.37e-10	1.742220119	3.104467631	Ruminococcus	Anaerofilum
644	D006262	genus	1263	61170	0.002815174	-0.03168958	2.79e-21	-0.100234626	513	8238	133	3601	1.685972996	5.09e-08	1.384727124	2.064261514	Ruminococcus	Holdemania
645	D006262	genus	1263	86331	3.45e-05	-0.044129372	1.04e-14	-0.082315868	180	8571	51	3683	1.516570292	0.008868116	1.102787182	2.11771337	Ruminococcus	Mogibacterium
646	D006262	genus	1263	118747	0.03765774	-0.022203424	2.11e-06	-0.050636968	79	8672	13	3721	2.607338444	0.000546354	1.438093116	5.117591273	Ruminococcus	Bulleidia
647	D006262	genus	1263	135858	0.002843147	0.031857118	0.000105247	0.041393099	363	8388	22	3712	7.301428863	3.08e-33	4.738880411	11.81779778	Ruminococcus	Catenibacterium
648	D006262	genus	1263	172900	0.012639941	-0.026650831	0.000279012	-0.038829377	181	8570	4	3730	19.69248404	3.8999999999999994e-23	7.550403459	73.10382985	Ruminococcus	Victivallis
649	D006262	genus	1263	246875	0.024860802	-0.023975041	0.003681981	-0.031031701	60	8691	6	3728	4.289460336	6.91e-05	1.857067454	12.16146427	Ruminococcus	Algoriphagus
650	D006262	genus	1263	447020	4.41e-18	0.09219889	5.71e-09	0.062033798	470	8281	52	3682	4.018093764	8.79e-29	3.004305523	5.4752167	Ruminococcus	Adlercreutzia
651	D006262	genus	1263	990721	3.73e-06	-0.049310862	0.000835991	-0.035620819	1331	7420	41	3693	16.15578747	6.240000000000001e-161	11.808784	22.67658672	Ruminococcus	Christensenella
652	D006262	genus	1263	1279388	3.76e-05	-0.043904422	2.71e-14	-0.080986357	443	8308	56	3678	3.501747556	5.04e-24	2.639438074	4.723511596	Ruminococcus	Kandleria
653	D006262	genus	1263	1505657	0.005141754	-0.029263061	1.29e-15	-0.083497717	1900	6851	390	3344	2.377770461	2.35e-54	2.114355616	2.678818979	Ruminococcus	Intestinibacter
654	D006262	genus	1263	1573535	2.78e-07	-0.054543071	1.38e-24	-0.108411372	1378	7373	112	3622	6.04296585	7.21e-111	4.960147086	7.423821138	Ruminococcus	Holdemanella
773	D006262	genus	1485	1573	0.014872397	-0.028236584	3.64e-16	-0.094299556	274	7088	77	5046	2.53308111	2.24e-14	1.955096657	3.314778172	Clostridium	Clavibacter
774	D006262	genus	1485	1730	5.36e-26	-0.099466826	0.0	-0.357550762	5695	1667	3824	1299	1.160492497	0.000492585	1.066725459	1.262383059	Clostridium	Eubacterium
775	D006262	genus	1485	2172	0.000112996	-0.042983382	2.51e-125	-0.260627999	1104	6258	701	4422	1.112806061	0.040998186	1.003573652	1.234487957	Clostridium	Methanobrevibacter
776	D006262	genus	1485	2740	0.030458849	-0.025172404	3.13e-10	-0.073104126	123	7239	29	5094	2.984340207	9.45e-09	1.974537425	4.648790998	Clostridium	Peptococcus
777	D006262	genus	1485	29465	0.000369573	0.037981346	6.75e-57	-0.168398509	2675	4687	1424	3699	1.482467351	1.16e-23	1.371147325	1.603199295	Clostridium	Veillonella
