ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
821	species	11.9212	Bacteroides vulgatus
1755626	species	8.09883	Faecalibacterium sp. MC_41
189722	species	2.27549	Prevotella marshii
204516	species	2.08542	Bacteroides massiliensis
28116	species	1.78977	Bacteroides ovatus
818	species	1.50467	Bacteroides thetaiotaomicron
28117	species	1.07175	Alistipes putredinis
820	species	1.05063	Bacteroides uniformis
626932	species	0.802492	Alistipes indistinctus
39485	species	0.686342	[Eubacterium] eligens
218538	species	0.654664	Dialister invisus
823	species	0.654664	Parabacteroides distasonis
454154	species	0.644105	Paraprevotella clara
351091	species	0.628267	Oscillibacter valericigenes
46506	species	0.512117	Bacteroides stercoris
1755610	species	0.47516	Alistipes sp. MC_19
28446	species	0.46988	[Clostridium] propionicum
36847	species	0.401246	[Clostridium] neopropionicum
328814	species	0.385407	Alistipes shahii
40520	species	0.374848	Blautia obeum
1465754	species	0.343171	Alistipes timonensis
46503	species	0.295655	Parabacteroides merdae
487175	species	0.269257	Parasutterella excrementihominis
35833	species	0.248139	Bilophila wadsworthia
28118	species	0.211182	Odoribacter splanchnicus
39486	species	0.163666	Dorea formicigenerans
536633	species	0.163666	Blautia glucerasea
410072	species	0.131989	Coprococcus comes
69825	species	0.126709	[Clostridium] indolis
291644	species	0.126709	Bacteroides salyersiae
246787	species	0.110871	Bacteroides cellulosilyticus
1535	species	0.105591	[Clostridium] leptum
562	species	0.100311	Escherichia coli
301301	species	0.100311	Roseburia hominis
39496	species	0.100311	Eubacterium ventriosum
185293	species	0.0950319	Prevotella oryzae
39484	species	0.0950319	Eubacterium desmolans
1515	species	0.0739137	Ruminiclostridium thermocellum
169435	species	0.0686342	Anaerotruncus colihominis
876	species	0.0633546	Desulfovibrio desulfuricans
28026	species	0.0633546	Bifidobacterium pseudocatenulatum
36835	species	0.0580751	[Clostridium] colinum
166486	species	0.0580751	Roseburia intestinalis
208479	species	0.0527955	[Clostridium] bolteae
1512	species	0.0527955	[Clostridium] symbiosum
84030	species	0.0527955	[Clostridium] saccharolyticum
357276	species	0.047516	Bacteroides dorei
214856	species	0.0422364	Alistipes finegoldii
84032	species	0.0369569	[Clostridium] thermosuccinogenes
44749	species	0.0369569	Sporobacter termitidis
901	species	0.0316773	Desulfovibrio piger
29348	species	0.0316773	[Clostridium] spiroforme
28901	species	0.0316773	Salmonella enterica
52787	species	0.0263978	Anaerofilum pentosovorans
626937	species	0.0263978	Christensenella minuta
371601	species	0.0263978	Bacteroides xylanisolvens
291645	species	0.0263978	Bacteroides nordii
33039	species	0.0211182	[Ruminococcus] torques
1264	species	0.0211182	Ruminococcus albus
1755607	species	0.0211182	Bacteroides sp. MC_16
329854	species	0.0211182	Bacteroides intestinalis
732242	species	0.0211182	Bacteroides paurosaccharolyticus
36745	species	0.0158387	Clostridium saccharoperbutylacetonicum
1308	species	0.0158387	Streptococcus thermophilus
39490	species	0.0158387	Eubacterium ramulus
839	species	0.0158387	Prevotella ruminicola
310300	species	0.0158387	Bacteroides pyogenes
61171	species	0.0158387	Holdemania filiformis
1303	species	0.0158387	Streptococcus oralis
840	species	0.0158387	Prevotella loescheii
882211	species	0.0158387	Pseudomonas deceptionensis
703	species	0.0105591	Plesiomonas shigelloides
100884	species	0.0105591	Coprobacillus cateniformis
39778	species	0.0105591	Veillonella dispar
45851	species	0.0105591	Butyrivibrio crossotus
1547	species	0.0105591	Erysipelatoclostridium ramosum
78448	species	0.0105591	Bifidobacterium pullorum
122355	species	0.0105591	Pseudomonas psychrophila
634765	species	0.0105591	Cocleimonas flava
287	species	0.0105591	Pseudomonas aeruginosa
288965	species	0.0105591	[Clostridium] clariflavum
106648	species	0.0105591	Acinetobacter bereziniae
228603	species	0.0105591	Prevotella shahii
115979	species	0.0105591	Bacillus nealsonii
574375	species	0.0105591	Bacillus gaemokensis
671267	species	0.0105591	Bacteroides sartorii
851	species	0.0105591	Fusobacterium nucleatum
495	species	0.0105591	Neisseria elongata
310298	species	0.0105591	Bacteroides coprocola
654	species	0.0105591	Aeromonas veronii
582	species	0.0105591	Morganella morganii
84026	species	0.0105591	[Clostridium] methylpentosum
84109	species	0.0105591	Slackia exigua
553	species	0.0105591	Pantoea ananatis
871325	species	0.00527955	Bacteroides faecichinchillae
1519	species	0.00527955	Clostridium tyrobutyricum
634771	species	0.00527955	Chitinophaga eiseniae
741091	species	0.00527955	Rahnella sp. Y9602
29466	species	0.00527955	Veillonella parvula
1462	species	0.00527955	Geobacillus kaustophilus
454155	species	0.00527955	Paraprevotella xylaniphila
35517	species	0.00527955	[Eubacterium] brachy
165179	species	0.00527955	Prevotella copri
37734	species	0.00527955	Enterococcus casseliflavus
626931	species	0.00527955	Bacteroides oleiciplenus
33038	species	0.00527955	[Ruminococcus] gnavus
43675	species	0.00527955	Rothia mucilaginosa
290053	species	0.00527955	Bacteroides helcogenes
52561	species	0.00527955	Desulfomicrobium norvegicum
572036	species	0.00527955	Pedobacter luteus
535744	species	0.00527955	Cronobacter universalis
106634	species	0.00527955	Thioalkalivibrio versutus
626930	species	0.00527955	Bacteroides fluxus
47877	species	0.00527955	Pseudomonas amygdali
729	species	0.00527955	Haemophilus parainfluenzae
754476	species	0.00527955	Methylophaga nitratireducenticrescens
29370	species	0.00527955	[Clostridium] sphenoides
40324	species	0.00527955	Stenotrophomonas maltophilia
496	species	0.00527955	Neisseria macacae
28037	species	0.00527955	Streptococcus mitis
623	species	0.00527955	Shigella flexneri
570161	species	0.00527955	Marinifilum fragile
1350067	species	0.00527955	Microbacter margulisiae
29375	species	0.00527955	[Clostridium] xylanolyticum
1341	species	0.00527955	Streptococcus ratti
78342	species	0.00527955	Bifidobacterium gallicum
1307	species	0.00527955	Streptococcus suis
180164	species	0.00527955	Blautia schinkii
28227	species	0.00527955	Mycoplasma penetrans
658457	species	0.00527955	Pseudomonas composti
239935	species	0.00527955	Akkermansia muciniphila
45076	species	0.00527955	Legionella worsleiensis
36842	species	0.00527955	Clostridium halophilum
564835	species	0.00527955	Pedobacter koreensis
115783	species	0.00527955	Geobacter thiogenes
1646	species	0.00527955	Renibacterium salmoninarum
1559	species	0.00527955	Clostridium tertium
-1	species	59.094	Unknown
1755626	species	10.1137	Faecalibacterium sp. MC_41
239935	species	5.77084	Akkermansia muciniphila
40520	species	5.62312	Blautia obeum
29348	species	4.67773	[Clostridium] spiroforme
328813	species	4.013	Alistipes onderdonkii
39496	species	3.18086	Eubacterium ventriosum
820	species	2.74755	Bacteroides uniformis
397865	species	2.02373	Barnesiella viscericola
216816	species	1.91048	Bifidobacterium longum
1535	species	1.57073	[Clostridium] leptum
1685	species	1.52642	Bifidobacterium breve
1515	species	1.5018	Ruminiclostridium thermocellum
1680	species	1.3787	Bifidobacterium adolescentis
288965	species	1.34916	[Clostridium] clariflavum
28117	species	1.34916	Alistipes putredinis
39485	species	0.955242	[Eubacterium] eligens
536633	species	0.920774	Blautia glucerasea
261299	species	0.8026	Intestinibacter bartlettii
626932	species	0.738589	Alistipes indistinctus
214856	species	0.620415	Alistipes finegoldii
69825	species	0.571175	[Clostridium] indolis
46503	species	0.52686	Parabacteroides merdae
33043	species	0.521936	Coprococcus eutactus
39486	species	0.497316	Dorea formicigenerans
44749	species	0.492393	Sporobacter termitidis
762210	species	0.467773	Bifidobacterium saguini
1264	species	0.384066	Ruminococcus albus
169435	species	0.36437	Anaerotruncus colihominis
187327	species	0.36437	Acidaminococcus intestini
821	species	0.324979	Bacteroides vulgatus
40519	species	0.305283	Ruminococcus callidus
410072	species	0.280664	Coprococcus comes
351091	species	0.236348	Oscillibacter valericigenes
39484	species	0.231424	Eubacterium desmolans
84026	species	0.216653	[Clostridium] methylpentosum
40518	species	0.196957	Ruminococcus bromii
52787	species	0.196957	Anaerofilum pentosovorans
328814	species	0.167413	Alistipes shahii
