	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
1232	D006262	species	853	901	1.01e-22	-0.119413579	4.43e-90	-0.242173479	723	5561	420	5781	1.789429694	3.55e-20	1.575483669	2.034287078	Faecalibacterium prausnitzii	Desulfovibrio piger
1233	D006262	species	853	1018	0.004465302	-0.035757935	4.4199999999999995e-30	-0.142621116	129	6155	37	6164	3.491631778	3.32e-13	2.40125855	5.186913803	Faecalibacterium prausnitzii	Capnocytophaga ochracea
1234	D006262	species	853	1376	0.012584573	-0.031468951	5.34e-09	-0.07351848	31	6253	3	6198	10.23949283	7.56e-07	3.192085952	52.39658946	Faecalibacterium prausnitzii	Aerococcus urinae
1235	D006262	species	853	1504	3.21e-17	-0.105249775	1.0100000000000001e-103	-0.265619492	731	5553	111	6090	7.221071132	4.62e-118	5.885707251	8.926425246	Faecalibacterium prausnitzii	Clostridium septicum
1236	D006262	species	853	1530	1.51e-09	-0.076051284	2.48e-25	-0.130511899	310	5974	14	6187	22.93103856	1.06e-74	13.43964315	42.46199311	Faecalibacterium prausnitzii	Clostridium carnis
1237	D006262	species	853	1531	7.39e-05	-0.049715156	2.4e-16	-0.102653239	151	6133	66	6135	2.288489056	8.83e-09	1.698803393	3.111077879	Faecalibacterium prausnitzii	[Clostridium] clostridioforme
1238	D006262	species	853	1598	0.013732591	-0.031017403	2.59e-11	-0.083803678	86	6198	27	6174	3.172817754	2.19e-08	2.03471474	5.094353602	Faecalibacterium prausnitzii	Lactobacillus reuteri
1239	D006262	species	853	1605	0.00858775	-0.033115615	2.25e-23	-0.125060293	130	6154	13	6188	10.05344238	1.45e-25	5.669782619	19.40937591	Faecalibacterium prausnitzii	Lactobacillus animalis
1240	D006262	species	853	1623	4.24e-07	-0.062280413	9.910000000000001e-110	-0.269233502	371	5913	301	5900	1.229825354	0.009908405	1.048865424	1.442858427	Faecalibacterium prausnitzii	Lactobacillus ruminis
1241	D006262	species	853	1735	0.001211209	-0.038233044	1.43e-114	-0.264083159	1539	4745	878	5323	1.966281617	8.63e-49	1.792465604	2.157866594	Faecalibacterium prausnitzii	Holdemanella biformis
1242	D006262	species	853	1737	0.01521867	-0.030594922	1.84e-11	-0.084554972	24	6260	9	6192	2.637670006	0.013476823	1.182397205	6.452847214	Faecalibacterium prausnitzii	[Eubacterium] tenue
1243	D006262	species	853	28136	0.023235406	-0.028541314	1.58e-17	-0.106871451	120	6164	39	6162	3.075835037	7.65e-11	2.122992368	4.543458703	Faecalibacterium prausnitzii	Prevotella oulorum
1244	D006262	species	853	28447	0.000133136	-0.048089817	0.016841617	-0.030095458	328	5956	23	6178	14.79476824	3.24e-71	9.670287876	23.71206891	Faecalibacterium prausnitzii	Clavibacter michiganensis
1245	D006262	species	853	29361	0.000386581	-0.044552543	0.003436191	-0.036733658	217	6067	58	6143	3.787468835	6.669999999999999e-23	2.816778905	5.16397144	Faecalibacterium prausnitzii	Tyzzerella nexilis
1246	D006262	species	853	35517	5.03e-05	-0.050969633	1.9e-15	-0.099732498	68	6216	37	6164	1.822367147	0.003163786	1.201705135	2.802624398	Faecalibacterium prausnitzii	[Eubacterium] brachy
1247	D006262	species	853	36745	1.48e-25	-0.127482276	1.2100000000000002e-200	-0.3578997	480	5804	382	5819	1.259765105	0.001156932	1.093568384	1.452002426	Faecalibacterium prausnitzii	Clostridium saccharoperbutylacetonicum
1248	D006262	species	853	45851	0.001391251	-0.039532999	1.19e-17	-0.105539687	538	5746	251	5950	2.219398627	1.59e-25	1.89844858	2.600086658	Faecalibacterium prausnitzii	Butyrivibrio crossotus
1249	D006262	species	853	58134	0.015073367	-0.030650925	0.000322637	-0.045339439	25	6259	4	6197	6.187258363	0.000102922	2.134680248	24.47681071	Faecalibacterium prausnitzii	[Desulfotomaculum] guttoideum
1250	D006262	species	853	61171	1.94e-15	-0.098430487	3.16e-69	-0.215823786	336	5948	202	5999	1.67754751	8.69e-09	1.399330471	2.014886197	Faecalibacterium prausnitzii	Holdemania filiformis
1251	D006262	species	853	78345	2.7200000000000003e-26	-0.128997826	4.230000000000001e-210	-0.364648367	774	5510	425	5776	1.908978213	2.02e-25	1.683971182	2.166410815	Faecalibacterium prausnitzii	Bifidobacterium merycicum
1252	D006262	species	853	83771	0.037851737	-0.026186561	3.73e-06	-0.058299098	45	6239	4	6197	11.1695033	7.98e-10	4.069782717	42.8248214	Faecalibacterium prausnitzii	Succinivibrio dextrinosolvens
1253	D006262	species	853	84026	4.23e-36	-0.146955156	0.0	-0.444937022	1347	4937	927	5274	1.552186277	4.9900000000000006e-21	1.414173021	1.704321327	Faecalibacterium prausnitzii	[Clostridium] methylpentosum
1254	D006262	species	853	87650	0.034962221	-0.026598482	9.24e-11	-0.081597829	63	6221	2	6199	31.38471793	1.09e-16	8.328652188	262.8543113	Faecalibacterium prausnitzii	Facklamia sourekii
1255	D006262	species	853	107580	0.000464815	-0.044068886	1.08e-10	-0.081174187	171	6113	21	6180	8.230975908	1.27e-30	5.208029677	13.66026042	Faecalibacterium prausnitzii	Bacteroides sp. CIP103040
1256	D006262	species	853	113107	9.44e-05	0.049223851	1.73e-06	0.060281684	53	6231	3	6198	17.57281664	7.78e-13	5.690146164	87.86475289	Faecalibacterium prausnitzii	Streptococcus australis
1257	D006262	species	853	154046	8.37e-05	-0.049064769	6.730000000000001e-32	-0.145917484	205	6079	138	6063	1.481542965	0.00044298	1.184490986	1.857641031	Faecalibacterium prausnitzii	Hungatella hathewayi
1258	D006262	species	853	166485	0.012140406	-0.031591659	2.36e-24	-0.127775521	64	6220	18	6183	3.533753216	3.19e-07	2.065709511	6.344277195	Faecalibacterium prausnitzii	Caminicella sporogenes
1259	D006262	species	853	216945	1.11e-18	-0.110378293	1.7e-89	-0.247770967	466	5818	69	6132	7.116983032	2.92e-75	5.501932703	9.325974332	Faecalibacterium prausnitzii	Spiroplasma syrphidicola
1260	D006262	species	853	218538	5.69e-19	-0.096498848	0.0	-0.4011189	2401	3883	2181	4020	1.139698013	0.00044862	1.058946955	1.226668689	Faecalibacterium prausnitzii	Dialister invisus
1261	D006262	species	853	228604	0.020817615	-0.029020079	1.1e-28	-0.138867644	176	6108	59	6142	2.999519835	1.07e-14	2.216460191	4.108448305	Faecalibacterium prausnitzii	Prevotella salivae
1262	D006262	species	853	253239	0.001852119	-0.039085562	4.79e-34	-0.151907915	100	6184	57	6144	1.74295131	0.000932321	1.244039057	2.462186161	Faecalibacterium prausnitzii	Ethanoligenens harbinense
1263	D006262	species	853	288965	6.97e-25	-0.124338206	5.299999999999999e-207	-0.359523172	709	5575	529	5672	1.363542579	2.93e-07	1.209217183	1.538232674	Faecalibacterium prausnitzii	[Clostridium] clariflavum
