ncbi_taxon_id	taxon_rank_level	scientific_name	numRunsWhereFound	meanRelAdun	medianRelAdun	SDRelAdun
821	species	Bacteroides vulgatus	978	5.5742061595398775	2.2485549999999996	7.743825796720674
46506	species	Bacteroides stercoris	951	1.3047921534426918	0.0986065	3.2699393543547877
820	species	Bacteroides uniformis	982	3.2122091340224035	1.837955	3.9861576437780437
376804	species	Bacteroides barnesiae	549	0.1041404808287796	0.0105326	0.5942130174480015
28117	species	Alistipes putredinis	952	1.3009258579306722	0.798605	1.5351369737466602
204516	species	Bacteroides massiliensis	906	1.0154678831236204	0.06363885	2.3017802802933094
454154	species	Paraprevotella clara	607	1.031309589169687	0.106969	2.074803555036594
28116	species	Bacteroides ovatus	982	1.9807432715824849	0.9086799999999999	3.1224823096086562
818	species	Bacteroides thetaiotaomicron	962	1.0167585294948025	0.5421145	1.452076111588519
310297	species	Bacteroides plebeius	616	0.8226949751152597	0.0115725	3.143534042413215
1755626	species	Faecalibacterium sp. MC_41	845	8.463168269597633	6.52078	7.446594410132637
39492	species	[Eubacterium] siraeum	833	0.6890100199039616	0.105186	1.563096105873066
214856	species	Alistipes finegoldii	742	0.30192226536388145	0.061527399999999996	0.9939495228611844
46503	species	Parabacteroides merdae	885	0.8155643575028249	0.391977	1.1286732033033988
328814	species	Alistipes shahii	842	0.3083843194465558	0.1472425	0.5213492888330583
397865	species	Barnesiella viscericola	884	1.0922581429694571	0.25314400000000004	2.9244232916699398
47678	species	Bacteroides caccae	944	0.8213873729766948	0.1767285	2.718271764804779
351091	species	Oscillibacter valericigenes	965	1.2641996828911917	0.686732	1.5978856434648299
28118	species	Odoribacter splanchnicus	851	0.2354336787144536	0.149132	0.2927635247781403
729	species	Haemophilus parainfluenzae	700	0.2474088425157143	0.0311717	1.558702119930956
44749	species	Sporobacter termitidis	915	0.3839597531803278	0.153003	0.6057979491690695
291645	species	Bacteroides nordii	724	0.08659001136187845	0.02016985	0.28754467361287783
69825	species	[Clostridium] indolis	954	0.5638288637002097	0.2252015	1.1414127459232857
40520	species	Blautia obeum	982	0.8911690391853362	0.5643925000000001	1.1932067220324172
246787	species	Bacteroides cellulosilyticus	908	0.5668528666134363	0.08494705	1.3682902827139238
169435	species	Anaerotruncus colihominis	929	0.26514538750269107	0.137634	0.3719500650238048
39484	species	Eubacterium desmolans	931	0.20994075179377011	0.0956458	0.3538710178081134
261299	species	Intestinibacter bartlettii	768	0.19239713315104168	0.0495665	0.4913724600878045
371601	species	Bacteroides xylanisolvens	839	0.04410835759713946	0.0237869	0.05703883490408109
39497	species	Eubacterium xylanophilum	729	0.1950592555061728	0.0753883	0.31848461418709745
574375	species	Bacillus gaemokensis	430	0.04171065697906977	0.01377575	0.09946592438577469
901	species	Desulfovibrio piger	259	0.32198101065637064	0.126823	0.4822967667341035
