Taxa,Metabolite,Potential Score
Lactobacillus,L-Formylkynurenine,6.679619e-06
Lactobacillus,L-Kynurenine,7.315040e-06
Lactobacillus,3-Hydroxyanthranilate,7.132315e-06
Brevundimonas,L-Formylkynurenine,1.165031e-02
Yersinia,L-Kynurenine,9.692340e-03
Yersinia,3-Hydroxyanthranilate,1.117403e-02
Chryseobacterium,L-Formylkynurenine,1.833170e-05
Nocardiopsis,L-Formylkynurenine,1.833192e-05
Arthrobacter,L-Formylkynurenine,1.833280e-05
Photobacterium,L-Formylkynurenine,1.833280e-05
Alicyclobacillus,L-Formylkynurenine,1.833302e-05
Thermus,L-Formylkynurenine,1.833302e-05
Novosphingobium,L-Formylkynurenine,1.833324e-05
Chitinophaga,L-Formylkynurenine,1.833346e-05
Geodermatophilus,L-Formylkynurenine,1.833346e-05
Acholeplasma,L-Formylkynurenine,1.833369e-05
Acidovorax,L-Formylkynurenine,1.833369e-05
Erwinia,L-Formylkynurenine,1.833369e-05
Colwellia,L-Formylkynurenine,1.833391e-05
Desulfotomaculum,L-Formylkynurenine,1.833391e-05
Ruegeria,L-Formylkynurenine,1.833391e-05
Saccharomonospora,L-Formylkynurenine,1.833391e-05
Wenzhouxiangella,L-Formylkynurenine,1.833391e-05
Verminephrobacter,L-Formylkynurenine,1.833413e-05
Alcanivorax,L-Formylkynurenine,1.833435e-05
Gracilibacillus,L-Formylkynurenine,1.833435e-05
Hyphomonas,L-Formylkynurenine,1.833435e-05
Pedobacter,L-Formylkynurenine,1.833435e-05
Pseudoxanthomonas,L-Formylkynurenine,1.833435e-05
Sulfurospirillum,L-Formylkynurenine,1.833435e-05
Agrococcus,L-Formylkynurenine,1.833457e-05
Cupriavidus,L-Formylkynurenine,1.833457e-05
Fervidobacterium,L-Formylkynurenine,1.833457e-05
Lacrimispora,L-Formylkynurenine,1.833457e-05
Magnetospirillum,L-Formylkynurenine,1.833457e-05
Microvirga,L-Formylkynurenine,1.833457e-05
Nitrosospira,L-Formylkynurenine,1.833457e-05
Psychrobacter,L-Formylkynurenine,1.833457e-05
Saccharopolyspora,L-Formylkynurenine,1.833457e-05
Afipia,L-Formylkynurenine,1.833479e-05
Chromobacterium,L-Formylkynurenine,1.833479e-05
Desulfitobacterium,L-Formylkynurenine,1.833479e-05
Halobacillus,L-Formylkynurenine,1.833479e-05
Hydrogenovibrio,L-Formylkynurenine,1.833479e-05
Lentilactobacillus,L-Formylkynurenine,1.833479e-05
Mycobacteroides,L-Formylkynurenine,1.833479e-05
Planococcus,L-Formylkynurenine,1.833479e-05
Pseudarthrobacter,L-Formylkynurenine,1.833479e-05
Rhodoferax,L-Formylkynurenine,1.833479e-05
Rhodopirellula,L-Formylkynurenine,1.833479e-05
Streptobacillus,L-Formylkynurenine,1.833479e-05
Thermoanaerobacter,L-Formylkynurenine,1.833479e-05
Tsukamurella,L-Formylkynurenine,1.833479e-05
Alloscardovia,L-Formylkynurenine,1.833501e-05
Anaerocolumna,L-Formylkynurenine,1.833501e-05
Arcanobacterium,L-Formylkynurenine,1.833501e-05
Bartonella,L-Formylkynurenine,1.833501e-05
Borreliella,L-Formylkynurenine,1.833501e-05
Curtobacterium,L-Formylkynurenine,1.833501e-05
Dehalogenimonas,L-Formylkynurenine,1.833501e-05
Dickeya,L-Formylkynurenine,1.833501e-05
Gluconobacter,L-Formylkynurenine,1.833501e-05
Kosmotoga,L-Formylkynurenine,1.833501e-05
Loigolactobacillus,L-Formylkynurenine,1.833501e-05
Methylacidiphilum,L-Formylkynurenine,1.833501e-05
Myxococcus,L-Formylkynurenine,1.833501e-05
Nakamurella,L-Formylkynurenine,1.833501e-05
Nesterenkonia,L-Formylkynurenine,1.833501e-05
Nostoc,L-Formylkynurenine,1.833501e-05
Peribacillus,L-Formylkynurenine,1.833501e-05
Pseudothermotoga,L-Formylkynurenine,1.833501e-05
Rubrobacter,L-Formylkynurenine,1.833501e-05
Sanguibacter,L-Formylkynurenine,1.833501e-05
Streptosporangium,L-Formylkynurenine,1.833501e-05
Syntrophomonas,L-Formylkynurenine,1.833501e-05
Tatumella,L-Formylkynurenine,1.833501e-05
Tetragenococcus,L-Formylkynurenine,1.833501e-05
Thermodesulfovibrio,L-Formylkynurenine,1.833501e-05
unclassified_Enterobacteriaceae,L-Formylkynurenine,1.833501e-05
unclassified_Ruminococcaceae,L-Formylkynurenine,1.833501e-05
Acetomicrobium,L-Formylkynurenine,1.833523e-05
Acidobacterium,L-Formylkynurenine,1.833523e-05
Actinobacillus,L-Formylkynurenine,1.833523e-05
Adlercreutzia,L-Formylkynurenine,1.833523e-05
Aggregatibacter,L-Formylkynurenine,1.833523e-05
Akkermansia,L-Formylkynurenine,1.833523e-05
Aminobacterium,L-Formylkynurenine,1.833523e-05
Anaerotruncus,L-Formylkynurenine,1.833523e-05
Aromatoleum,L-Formylkynurenine,1.833523e-05
Azorhizobium,L-Formylkynurenine,1.833523e-05
Beijerinckia,L-Formylkynurenine,1.833523e-05
Borrelia,L-Formylkynurenine,1.833523e-05
Brochothrix,L-Formylkynurenine,1.833523e-05
Carboxydothermus,L-Formylkynurenine,1.833523e-05
Cardiobacterium,L-Formylkynurenine,1.833523e-05
Cedecea,L-Formylkynurenine,1.833523e-05
Cellulosilyticum,L-Formylkynurenine,1.833523e-05
Cellvibrio,L-Formylkynurenine,1.833523e-05
Cetobacterium,L-Formylkynurenine,1.833523e-05
Chromohalobacter,L-Formylkynurenine,1.833523e-05
Conexibacter,L-Formylkynurenine,1.833523e-05
Coprobacter,L-Formylkynurenine,1.833523e-05
Coprothermobacter,L-Formylkynurenine,1.833523e-05
Cytophaga,L-Formylkynurenine,1.833523e-05
Dechloromonas,L-Formylkynurenine,1.833523e-05
Dehalococcoides,L-Formylkynurenine,1.833523e-05
Desulfobacterium,L-Formylkynurenine,1.833523e-05
Desulfococcus,L-Formylkynurenine,1.833523e-05
Desulfofarcimen,L-Formylkynurenine,1.833523e-05
Dietzia,L-Formylkynurenine,1.833523e-05
Enorma,L-Formylkynurenine,1.833523e-05
Erythrobacter,L-Formylkynurenine,1.833523e-05
Fenollaria,L-Formylkynurenine,1.833523e-05
Fibrobacter,L-Formylkynurenine,1.833523e-05
Francisella,L-Formylkynurenine,1.833523e-05
Gemmatimonas,L-Formylkynurenine,1.833523e-05
Gloeobacter,L-Formylkynurenine,1.833523e-05
Hahella,L-Formylkynurenine,1.833523e-05
Jonesia,L-Formylkynurenine,1.833523e-05
Kosakonia,L-Formylkynurenine,1.833523e-05
Kribbella,L-Formylkynurenine,1.833523e-05
