Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Attention Deficit Disorder	C0041671	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.54		1.0	18	0	1995.0	2017.0
Attention Deficit Disorder	C0041671	ADGRL3	23284	Q9HAR2	adhesion G protein-coupled receptor L3	G-protein coupled receptor	25	0.729	0.385	1.0	0.51		1.0	4	1	2012.0	2016.0
Attention Deficit Disorder	C0041671	CHRNB2	1141	P17787	cholinergic receptor nicotinic beta 2 subunit	Ion channel	96	0.617	0.308	0.00072964	0.5		1.0	4	0	2003.0	2012.0
Attention Deficit Disorder	C0041671	DRD4	1815	P21917	dopamine receptor D4	G-protein coupled receptor	189	0.517	0.577	9.3362e-09	0.5		1.0	5	0	2004.0	2018.0
Attention Deficit Disorder	C0041671	GIT1	28964	Q9Y2X7	GIT ArfGAP 1		56	0.647	0.538	0.99978	0.5		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	TACR1	6869	P25103	tachykinin receptor 1	G-protein coupled receptor	217	0.502	0.885	0.00038437	0.5		1.0	3	0	1998.0	2010.0
Attention deficit hyperactivity disorder	C1263846	COMT	1312	P21964	catechol-O-methyltransferase	Enzyme	622	0.4	0.923	1.1377e-06	0.5		0.873	55	6	1996.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DRD4	1815	P21917	dopamine receptor D4	G-protein coupled receptor	189	0.517	0.577	9.3362e-09	0.5		0.921	165	5	1996.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DRD5	1816	P21918	dopamine receptor D5	G-protein coupled receptor	73	0.603	0.423	1.348e-16	0.5		0.9	20	2	2000.0	2016.0
Attention deficit hyperactivity disorder	C1263846	STS	412	P08842	steroid sulfatase	Enzyme	382	0.431	0.846	0.80886	0.46		1.0	6	3	2008.0	2017.0
Attention deficit hyperactivity disorder	C1263846	GRM5	2915	P41594	glutamate metabotropic receptor 5	G-protein coupled receptor	189	0.525	0.846	0.99872	0.45		1.0	6	1	2010.0	2015.0
Attention deficit hyperactivity disorder	C1263846	FGD1	2245	P98174	FYVE, RhoGEF and PH domain containing 1	Enzyme modulator	131	0.573	0.731	0.9997	0.42		1.0	2	1	2005.0	2014.0
Attention deficit hyperactivity disorder	C1263846	AS3MT	57412	Q9HBK9	arsenite methyltransferase	Enzyme	56	0.638	0.538	7.9768e-11	0.41		1.0	2	1	2013.0	2015.0
Attention deficit hyperactivity disorder	C1263846	TPH2	121278	Q8IWU9	tryptophan hydroxylase 2		137	0.546	0.654	2.5364e-07	0.4		0.933	15	4	2005.0	2020.0
Attention deficit hyperactivity disorder	C1263846	DRD2	1813	P14416	dopamine receptor D2	G-protein coupled receptor	437	0.436	0.846	0.74709	0.4		1.0	27	2	1999.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CIC	23152	Q96RK0	capicua transcriptional repressor		141	0.523	0.692	0.99999	0.4		1.0	1	0	2017.0	2017.0
