# KEGG genes for Tryptophan metabolism pathway - human (hsa00380)
# downloaded from https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+path:hsa00380
geneID	geneName	geneInfo
hsa:11185	K00562	methyltransferase [EC:2.1.1.49 2.1.1.96] | (RefSeq) INMT, TEMT; indolethylamine N-methyltrans 
hsa:121278	K00502 	tryptophan 5-monooxygenase [EC:1.14.16.4] | (RefSeq) TPH2, ADHD7, NTPH; tryptophan hydroxylas 
hsa:125061	K01432	arylformamidase [EC:3.5.1.9] | (RefSeq) AFMID, FKF, KF, KFA; arylformamidase 
hsa:130013	K03392 	aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45] | (RefSeq) ACMSD; aminocarboxym 
hsa:15	K00669 	arylalkylamine N-acetyltransferase [EC:2.3.1.87] | (RefSeq) AANAT, DSPS, SNAT; aralkylamine N 
hsa:1543	K07408 	cytochrome P450 family 1 subfamily A1 [EC:1.14.14.1] | (RefSeq) CYP1A1, AHH, AHRR, CP11, CYP1 
hsa:1544	K07409 	cytochrome P450 family 1 subfamily A2 [EC:1.14.14.1] | (RefSeq) CYP1A2, CP12, CYPIA2, P3-450, 
hsa:1545	K07410 	cytochrome P450 family 1 subfamily B1 [EC:1.14.14.1] | (RefSeq) CYP1B1, ASGD6, CP1B, CYPIB1,  
hsa:1644	K01593 	aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105] | (RefSeq) DDC, AADC 
hsa:169355	K00463 	indoleamine 2,3-dioxygenase [EC:1.13.11.52] | (RefSeq) IDO2, INDOL1; indoleamine 2,3-dioxygen 
hsa:1738	K00382 	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) DLD, DLDD, DLDH, E3, GCSL, LAD, OGDC-E 
hsa:1743	K00658 	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61 
hsa:1892	K07511 	enoyl-CoA hydratase [EC:4.2.1.17] | (RefSeq) ECHS1, ECHS1D, SCEH, mECH, mECH1; enoyl-CoA hydr 
hsa:1962	K07514 	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2 
hsa:217	K00128 	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) ALDH2, ALDH-E2, ALDHI, ALDM; aldehyde d 
