Taxa,Metabolite,Potential Score
Abiotrophia,Serotonin,2.601424e-05
Abiotrophia,L-Formylkynurenine,1.947084e-05
Abiotrophia,L-Kynurenine,2.010608e-05
Abiotrophia,3-Hydroxyanthranilate,2.121138e-05
Abiotrophia,Anthranilate,3.212248e-05
Abiotrophia,Indole-3-acetaldehyde,2.842288e-01
Abiotrophia,Melatonin,1.128576e-05
Abiotrophia,5-Hydroxykynurenamine,2.571561e-05
Abiotrophia,Indole-3-acetate,1.553503e-01
Abiotrophia,Tryptamine,2.703092e-05
Acaricomes,Serotonin,2.601235e-05
Acaricomes,L-Formylkynurenine,1.947033e-05
Acaricomes,L-Kynurenine,2.010548e-05
Acaricomes,3-Hydroxyanthranilate,2.121060e-05
Acaricomes,Anthranilate,3.211952e-05
Acaricomes,Indole-3-acetaldehyde,1.559063e-01
Acaricomes,Melatonin,1.128614e-05
Acaricomes,5-Hydroxykynurenamine,2.571379e-05
Acaricomes,Indole-3-acetate,1.004830e-01
Acaricomes,Tryptamine,2.702877e-05
Acaryochloris,Serotonin,2.144832e-05
Acaryochloris,L-Formylkynurenine,1.833545e-05
Acaryochloris,L-Kynurenine,1.903914e-05
Acaryochloris,3-Hydroxyanthranilate,1.993552e-05
Acaryochloris,Anthranilate,3.205807e-05
Acaryochloris,Indole-3-acetaldehyde,1.686427e-01
Acaryochloris,Melatonin,1.126046e-05
Acaryochloris,5-Hydroxykynurenamine,2.126944e-05
Acaryochloris,Indole-3-acetate,5.231950e-01
Acaryochloris,Tryptamine,2.186001e-05
Acetanaerobacterium,Serotonin,2.144832e-05
Acetanaerobacterium,L-Formylkynurenine,1.833545e-05
Acetanaerobacterium,L-Kynurenine,1.903914e-05
Acetanaerobacterium,3-Hydroxyanthranilate,1.993552e-05
Acetanaerobacterium,Anthranilate,3.205807e-05
Acetanaerobacterium,Indole-3-acetaldehyde,1.686427e-01
Acetanaerobacterium,Melatonin,1.126046e-05
Acetanaerobacterium,5-Hydroxykynurenamine,2.126944e-05
Acetanaerobacterium,Indole-3-acetate,5.231950e-01
Acetanaerobacterium,Tryptamine,2.186001e-05
Acetitomaculum,Serotonin,2.601235e-05
Acetitomaculum,L-Formylkynurenine,1.947033e-05
Acetitomaculum,L-Kynurenine,2.010548e-05
Acetitomaculum,3-Hydroxyanthranilate,2.121060e-05
Acetitomaculum,Anthranilate,3.211952e-05
Acetitomaculum,Indole-3-acetaldehyde,7.048002e-01
Acetitomaculum,Melatonin,1.128614e-05
Acetitomaculum,5-Hydroxykynurenamine,2.571379e-05
Acetitomaculum,Indole-3-acetate,1.004830e-01
Acetitomaculum,Tryptamine,2.702877e-05
Acetivibrio,Serotonin,2.144832e-05
Acetivibrio,L-Formylkynurenine,1.833545e-05
Acetivibrio,L-Kynurenine,1.903914e-05
Acetivibrio,3-Hydroxyanthranilate,1.993552e-05
Acetivibrio,Anthranilate,3.205807e-05
Acetivibrio,Indole-3-acetaldehyde,1.686427e-01
Acetivibrio,Melatonin,1.126046e-05
